body_type,daysonmarket,fuel_type,has_accidents,highway_fuel_economy,horsepower,is_new,make_name,mileage,price,seller_rating,year
Convertible,244,Gasoline,True,21.0,420.0,False,Audi,35042.0,59495.0,2.963636363636364,2011
Sedan,56,Gasoline,False,39.0,143.0,False,Honda,61444.0,10200.0,2.8,2015
Minivan,14,Flex Fuel Vehicle,False,25.0,283.0,False,Chrysler,45260.0,14800.0,2.8,2016
Sedan,14,Flex Fuel Vehicle,False,28.0,305.0,False,Chevrolet,6516.0,21259.0,3.4477611940298507,2019
SUV / Crossover,20,Gasoline,False,26.0,182.0,False,Chevrolet,26829.0,17324.0,3.4477611940298507,2017
SUV / Crossover,25,Gasoline,False,17.0,555.0,False,BMW,74046.0,25495.0,2.963636363636364,2013
Sedan,4,Gasoline,False,33.0,240.0,False,BMW,65806.0,11195.0,2.963636363636364,2013
SUV / Crossover,15,Gasoline,False,22.0,360.0,False,Dodge,30346.0,30700.0,2.8,2017
Sedan,250,Gasoline,False,38.0,179.0,False,Nissan,37811.0,16000.0,2.8,2018
Sedan,41,Gasoline,False,40.0,153.0,False,Chevrolet,29941.0,14224.0,3.4477611940298507,2017
SUV / Crossover,37,Gasoline,False,26.0,182.0,False,Chevrolet,49504.0,14929.0,3.4477611940298507,2017
Minivan,60,Gasoline,False,28.0,287.0,False,Chrysler,17001.0,24000.0,2.8,2018
SUV / Crossover,24,Gasoline,True,18.0,205.0,False,Jeep,153205.0,12999.0,4.666666666666667,2007
Van,47,Gasoline,True,26.0,136.0,False,Ford,176263.0,4999.0,4.666666666666667,2011
SUV / Crossover,33,Gasoline,False,26.0,250.0,False,Mazda,35946.0,23800.0,2.8,2017
SUV / Crossover,31,Gasoline,False,30.0,164.0,False,Hyundai,52716.0,14500.0,2.8,2018
SUV / Crossover,18,Gasoline,False,28.0,240.0,False,BMW,87164.0,9995.0,2.963636363636364,2013
